size_sqft,bedrooms,bathrooms,year_built,garage_spaces,floors,lot_size_sqft,has_pool,neighborhood,price
4678.0,4.0,2.5,1962.0,2.0,3.0,19578.0,0.0,Uptown,967298.78
4039.0,1.0,2.0,1964.0,0.0,3.0,12630.0,0.0,Downtown,875921.72
3433.0,3.0,1.5,2018.0,0.0,1.0,2099.0,0.0,Downtown,728557.21
2371.0,4.0,1.0,1990.0,3.0,1.0,9127.0,0.0,Downtown,624654.99
4220.0,6.0,2.5,1953.0,2.0,2.0,14927.0,0.0,Downtown,990502.21
3000.0,4.0,3.5,1981.0,3.0,2.0,15477.0,1.0,Suburbs,600795.28
2551.0,3.0,2.0,1991.0,0.0,1.0,6381.0,0.0,Waterfront,703347.53
2582.0,4.0,3.5,1968.0,0.0,3.0,16809.0,0.0,Waterfront,782964.73
1600.0,2.0,3.5,1990.0,1.0,1.0,19416.0,0.0,Downtown,533130.92
1005.0,1.0,2.5,1997.0,3.0,3.0,11156.0,0.0,Waterfront,477669.67
3040.0,5.0,2.5,1968.0,2.0,1.0,8868.0,0.0,Rural,349738.31
4507.0,6.0,2.0,2010.0,3.0,2.0,11470.0,0.0,Uptown,895355.81
880.0,6.0,1.0,1983.0,1.0,3.0,2491.0,1.0,Rural,188069.25
4377.0,4.0,3.5,2021.0,1.0,2.0,11422.0,0.0,Uptown,875536.91
4242.0,1.0,3.0,1956.0,2.0,3.0,2484.0,0.0,Suburbs,575471.81
1818.0,6.0,2.0,1973.0,3.0,3.0,2626.0,0.0,Uptown,470376.05
3379.0,3.0,2.0,2003.0,1.0,3.0,11961.0,1.0,Rural,447577.83
1327.0,2.0,2.0,2016.0,2.0,2.0,11194.0,0.0,Rural,183543.44
3936.0,6.0,3.0,1966.0,3.0,3.0,19761.0,0.0,Downtown,1018613.12
3683.0,5.0,4.0,2022.0,1.0,2.0,11138.0,1.0,Waterfront,978573.31
2160.0,5.0,1.5,1964.0,3.0,3.0,19636.0,0.0,Suburbs,467772.83
898.0,2.0,2.5,1980.0,2.0,3.0,16528.0,1.0,Waterfront,540732.9
4872.0,6.0,1.0,1973.0,3.0,1.0,8071.0,0.0,Suburbs,735786.9
2561.0,3.0,2.0,1981.0,1.0,2.0,18671.0,0.0,Downtown,688073.46
4530.0,4.0,1.5,2016.0,2.0,3.0,10689.0,1.0,Waterfront,1203463.66
3583.0,5.0,2.0,2004.0,1.0,1.0,12709.0,0.0,Uptown,710719.41
4025.0,4.0,2.0,2008.0,2.0,3.0,3808.0,0.0,Suburbs,626842.37
3944.0,2.0,2.0,1968.0,1.0,1.0,5826.0,0.0,Downtown,804379.33
1456.0,2.0,2.0,2020.0,2.0,3.0,11399.0,1.0,Downtown,555479.02
2201.0,3.0,4.0,1982.0,3.0,3.0,6882.0,1.0,Downtown,592288.48
2654.0,6.0,4.0,1998.0,1.0,1.0,12795.0,0.0,Waterfront,805589.52
2790.0,5.0,1.5,2001.0,1.0,3.0,3438.0,1.0,Downtown,658857.11
792.0,3.0,2.5,1999.0,1.0,1.0,6519.0,0.0,Downtown,284988.7
3005.0,5.0,4.0,1994.0,2.0,2.0,13973.0,0.0,Waterfront,928769.07
1279.0,5.0,3.5,1985.0,2.0,3.0,13018.0,0.0,Waterfront,559658.29
3871.0,3.0,1.5,1997.0,2.0,1.0,19706.0,0.0,Suburbs,646760.82
3606.0,3.0,3.0,2016.0,0.0,1.0,18195.0,1.0,Rural,433580.35
4660.0,6.0,1.0,1978.0,0.0,2.0,16592.0,0.0,Uptown,908619.32
3877.0,4.0,1.5,1987.0,0.0,2.0,2017.0,0.0,Uptown,690561.17
2213.0,1.0,3.0,1963.0,3.0,1.0,12845.0,0.0,Suburbs,385173.87
4858.0,5.0,3.0,1976.0,3.0,2.0,6121.0,1.0,Rural,527467.26
2408.0,4.0,4.0,2007.0,0.0,1.0,6804.0,1.0,Waterfront,707147.83
2033.0,4.0,2.0,1997.0,0.0,1.0,5778.0,0.0,Rural,234070.08
4585.0,5.0,4.0,1965.0,3.0,1.0,10206.0,0.0,Waterfront,1167124.16
2230.0,6.0,2.0,1990.0,2.0,1.0,4230.0,0.0,Downtown,580767.24
935.0,2.0,3.0,2010.0,1.0,3.0,11572.0,0.0,Rural,177785.82
2666.0,3.0,1.5,1959.0,2.0,3.0,4989.0,1.0,Waterfront,728020.65
4101.0,2.0,1.0,1954.0,0.0,2.0,11008.0,0.0,Uptown,805915.59
1433.0,4.0,4.5,1979.0,0.0,3.0,13267.0,0.0,Waterfront,604522.83
2637.0,3.0,4.5,1998.0,1.0,2.0,5234.0,0.0,Suburbs,427257.75
1171.0,3.0,4.5,1973.0,3.0,3.0,3848.0,0.0,Waterfront,434354.81
3621.0,5.0,2.5,2010.0,3.0,1.0,16513.0,1.0,Waterfront,1048530.92
2693.0,3.0,1.0,2012.0,0.0,1.0,15294.0,0.0,Rural,362587.35
2053.0,3.0,4.0,1989.0,2.0,3.0,6706.0,0.0,Rural,269539.77
1598.0,3.0,3.0,1978.0,3.0,1.0,17967.0,0.0,Uptown,494235.61
3084.0,2.0,1.5,1953.0,3.0,3.0,5981.0,1.0,Suburbs,561909.18
3547.0,1.0,4.5,2010.0,3.0,2.0,18679.0,1.0,Uptown,823282.13
4738.0,5.0,4.5,2016.0,0.0,2.0,4039.0,0.0,Waterfront,1158384.22
2523.0,1.0,2.0,1982.0,0.0,2.0,13883.0,0.0,Downtown,623095.52
1307.0,2.0,4.0,1988.0,0.0,3.0,2345.0,0.0,Suburbs,244859.57
4264.0,5.0,4.5,2005.0,0.0,1.0,5553.0,0.0,Uptown,844285.29
3371.0,1.0,3.5,2001.0,0.0,3.0,9284.0,0.0,Suburbs,514897.48
3681.0,4.0,3.5,1960.0,1.0,3.0,3535.0,1.0,Rural,441033.49
1027.0,5.0,2.0,1999.0,2.0,3.0,10225.0,1.0,Suburbs,307078.73
1974.0,4.0,4.0,2018.0,1.0,3.0,6176.0,0.0,Rural,265782.81
3979.0,2.0,4.0,2005.0,1.0,3.0,3781.0,0.0,Downtown,818646.8
4262.0,1.0,4.5,1985.0,0.0,2.0,19316.0,0.0,Suburbs,664713.51
2515.0,6.0,3.0,1988.0,0.0,2.0,19673.0,0.0,Rural,347846.39
4141.0,2.0,1.5,1969.0,3.0,2.0,19323.0,0.0,Uptown,797885.04
4304.0,5.0,2.0,1998.0,2.0,3.0,4773.0,0.0,Rural,461308.19
2305.0,2.0,2.0,1967.0,0.0,2.0,8874.0,1.0,Rural,271899.64
4552.0,1.0,4.0,1975.0,3.0,2.0,7893.0,0.0,Suburbs,708255.28
1868.0,5.0,3.5,1969.0,3.0,1.0,7864.0,1.0,Uptown,520424.52
1654.0,6.0,3.5,1974.0,3.0,1.0,9499.0,0.0,Waterfront,590909.06
3603.0,6.0,1.5,1977.0,0.0,1.0,11180.0,0.0,Waterfront,919512.23
3402.0,5.0,4.5,1956.0,2.0,2.0,10733.0,0.0,Downtown,809081.55
1215.0,2.0,2.0,2003.0,3.0,2.0,7250.0,1.0,Rural,255583.91
4264.0,6.0,1.0,1982.0,3.0,3.0,19637.0,0.0,Uptown,907523.63
1479.0,5.0,4.5,2020.0,0.0,2.0,19634.0,0.0,Downtown,544035.98
4142.0,2.0,1.0,1963.0,3.0,1.0,7962.0,0.0,Rural,405680.4
632.0,1.0,1.0,1999.0,1.0,2.0,5982.0,0.0,Downtown,215159.01
4106.0,6.0,1.5,1963.0,1.0,1.0,11589.0,0.0,Suburbs,656340.09
4063.0,2.0,2.5,1990.0,2.0,3.0,8644.0,0.0,Rural,448578.58
4034.0,5.0,1.0,1986.0,3.0,3.0,19769.0,0.0,Waterfront,1166669.05
3526.0,1.0,4.5,1983.0,0.0,1.0,9729.0,1.0,Uptown,733241.48
2675.0,2.0,3.5,1998.0,2.0,1.0,2716.0,0.0,Waterfront,758455.92
3703.0,2.0,2.5,2011.0,3.0,1.0,4251.0,0.0,Waterfront,921057.18
1819.0,2.0,1.5,1973.0,2.0,2.0,3342.0,0.0,Uptown,393474.26
4035.0,5.0,2.0,2012.0,1.0,1.0,8891.0,0.0,Downtown,865251.34
3045.0,6.0,1.0,1963.0,0.0,3.0,7697.0,1.0,Rural,380633.95
2619.0,6.0,4.5,1971.0,2.0,1.0,17422.0,0.0,Downtown,745789.36
2825.0,5.0,2.0,1972.0,2.0,2.0,18031.0,0.0,Waterfront,881489.66
3103.0,2.0,2.0,2020.0,2.0,2.0,4526.0,1.0,Suburbs,493311.89
763.0,6.0,1.5,1958.0,3.0,1.0,19003.0,0.0,Rural,220592.6
1215.0,4.0,1.0,1979.0,2.0,3.0,12512.0,0.0,Rural,224761.99
1680.0,4.0,1.5,1981.0,2.0,1.0,7522.0,0.0,Uptown,426488.38
1104.0,5.0,1.0,2009.0,0.0,3.0,9319.0,0.0,Waterfront,438078.35
2534.0,5.0,3.0,1985.0,2.0,3.0,9945.0,0.0,Rural,366856.62
3541.0,6.0,4.5,2021.0,0.0,2.0,5069.0,0.0,Waterfront,986401.69
3480.0,4.0,4.5,2004.0,2.0,3.0,17614.0,0.0,Downtown,871139.4
2673.0,4.0,2.0,2002.0,0.0,2.0,2222.0,0.0,Uptown,552348.6
4363.0,5.0,4.0,2005.0,3.0,1.0,3255.0,1.0,Waterfront,1050669.75
3087.0,2.0,3.0,1961.0,1.0,1.0,6920.0,0.0,Waterfront,783499.25
948.0,2.0,1.0,1983.0,1.0,3.0,4584.0,0.0,Uptown,225346.13
3966.0,4.0,1.5,1993.0,0.0,2.0,3112.0,0.0,Downtown,799547.82
3128.0,1.0,3.0,1965.0,0.0,3.0,8901.0,0.0,Suburbs,454839.38
3393.0,2.0,2.0,1958.0,3.0,1.0,8782.0,0.0,Uptown,667197.21
3088.0,5.0,1.0,1960.0,1.0,3.0,4260.0,0.0,Rural,362331.84
3036.0,6.0,4.0,2008.0,2.0,3.0,16584.0,1.0,Waterfront,942751.17
998.0,4.0,3.5,1998.0,3.0,1.0,17887.0,1.0,Downtown,491086.01
3061.0,3.0,3.0,1970.0,2.0,2.0,14955.0,1.0,Suburbs,550060.78
4098.0,3.0,4.5,2004.0,0.0,3.0,11399.0,0.0,Suburbs,696681.22
1937.0,5.0,4.0,2001.0,1.0,1.0,19053.0,0.0,Waterfront,727442.03
3253.0,4.0,4.0,2010.0,1.0,1.0,8309.0,0.0,Downtown,737356.57
735.0,1.0,2.5,2017.0,1.0,1.0,9686.0,0.0,Suburbs,210447.64
2129.0,4.0,4.0,2015.0,0.0,2.0,2271.0,1.0,Suburbs,438537.61
2521.0,3.0,3.0,1963.0,2.0,1.0,14741.0,0.0,Downtown,674774.13
4925.0,5.0,3.0,2006.0,1.0,2.0,3665.0,0.0,Rural,488411.66
1544.0,6.0,4.0,1979.0,1.0,3.0,13976.0,0.0,Uptown,474023.24
1817.0,6.0,1.5,1979.0,1.0,1.0,16084.0,0.0,Uptown,497697.27
2397.0,4.0,2.5,1997.0,1.0,1.0,5907.0,0.0,Waterfront,656590.45
4968.0,3.0,1.0,1994.0,0.0,2.0,13016.0,0.0,Uptown,881794.7
4355.0,3.0,2.5,1981.0,1.0,1.0,7464.0,0.0,Suburbs,630179.46
752.0,2.0,2.5,2023.0,3.0,1.0,9170.0,0.0,Suburbs,286819.98
1629.0,6.0,4.5,1962.0,2.0,1.0,11537.0,0.0,Waterfront,596495.39
4216.0,6.0,4.0,1957.0,2.0,1.0,6490.0,1.0,Uptown,846131.16
856.0,6.0,2.5,1952.0,3.0,3.0,16340.0,0.0,Downtown,443141.14
4365.0,2.0,2.0,2010.0,2.0,1.0,9103.0,0.0,Rural,522434.03
1838.0,2.0,3.5,1980.0,0.0,2.0,10313.0,0.0,Rural,246569.37
4638.0,6.0,4.5,1982.0,1.0,3.0,16665.0,0.0,Suburbs,800833.63
1892.0,4.0,4.0,1998.0,1.0,2.0,6099.0,1.0,Uptown,476964.25
2511.0,5.0,1.0,1982.0,1.0,2.0,10141.0,0.0,Uptown,558046.27
3513.0,3.0,1.5,1992.0,0.0,2.0,19883.0,1.0,Downtown,870518.82
1155.0,3.0,3.0,1954.0,0.0,3.0,9195.0,1.0,Downtown,378211.68
3051.0,4.0,2.5,1961.0,1.0,1.0,4080.0,0.0,Rural,326511.06
2822.0,5.0,1.5,2018.0,3.0,1.0,7119.0,0.0,Rural,376565.77
4049.0,3.0,1.0,1983.0,2.0,3.0,19206.0,0.0,Rural,456627.89
4983.0,5.0,2.0,1962.0,3.0,1.0,15665.0,0.0,Suburbs,788887.23
3523.0,2.0,2.0,1977.0,0.0,1.0,16563.0,0.0,Uptown,730437.09
2400.0,3.0,3.0,1974.0,1.0,1.0,6564.0,0.0,Waterfront,632540.35
2388.0,6.0,1.0,1970.0,2.0,1.0,17100.0,0.0,Suburbs,507245.34
2439.0,6.0,3.0,1971.0,1.0,1.0,9080.0,0.0,Rural,315618.09
4182.0,6.0,3.5,2003.0,1.0,2.0,16309.0,0.0,Downtown,996010.94
2013.0,2.0,2.0,1957.0,1.0,2.0,17856.0,0.0,Downtown,513212.3
1334.0,6.0,1.5,1972.0,0.0,1.0,5747.0,1.0,Waterfront,471323.69
2071.0,6.0,3.5,1984.0,3.0,3.0,18893.0,0.0,Downtown,697228.81
699.0,6.0,3.5,1989.0,3.0,1.0,13387.0,0.0,Rural,247484.13
1067.0,1.0,2.5,2015.0,0.0,3.0,15156.0,1.0,Uptown,399972.23
996.0,5.0,2.0,2018.0,1.0,3.0,15622.0,0.0,Waterfront,544363.41
3995.0,6.0,3.5,1972.0,2.0,2.0,5032.0,0.0,Uptown,761222.39
3779.0,5.0,2.0,1989.0,3.0,2.0,15423.0,0.0,Rural,458125.94
3666.0,2.0,2.0,1951.0,3.0,1.0,5833.0,0.0,Waterfront,915774.66
2632.0,5.0,2.0,1995.0,1.0,1.0,6888.0,1.0,Waterfront,739534.66
3755.0,1.0,2.5,1961.0,2.0,3.0,4098.0,0.0,Rural,412133.57
1309.0,3.0,3.5,1955.0,3.0,2.0,5260.0,0.0,Downtown,425984.95
4563.0,4.0,2.5,1999.0,3.0,1.0,19621.0,0.0,Downtown,1082159.09
2805.0,3.0,2.5,1963.0,1.0,3.0,7906.0,0.0,Uptown,574444.93
4728.0,5.0,3.0,1985.0,3.0,3.0,8966.0,0.0,Rural,500335.62
1270.0,2.0,2.5,1957.0,1.0,1.0,10637.0,1.0,Rural,251013.98
2788.0,4.0,1.0,2005.0,0.0,1.0,14833.0,0.0,Rural,361964.06
3664.0,4.0,4.5,2006.0,3.0,1.0,12328.0,0.0,Downtown,902443.4
2781.0,4.0,1.0,1992.0,3.0,1.0,11651.0,0.0,Downtown,693283.76
2563.0,2.0,3.5,2011.0,1.0,2.0,17065.0,1.0,Downtown,722065.79
1331.0,2.0,2.0,1982.0,1.0,1.0,10927.0,0.0,Uptown,367811.68
2276.0,2.0,1.5,1963.0,1.0,2.0,15843.0,0.0,Rural,306331.39
1650.0,3.0,1.0,1961.0,0.0,1.0,18397.0,0.0,Downtown,508617.51
1926.0,4.0,4.0,1966.0,3.0,3.0,14171.0,1.0,Waterfront,700718.21
3608.0,3.0,2.5,1964.0,0.0,3.0,2635.0,0.0,Suburbs,489870.08
3373.0,3.0,2.0,1973.0,2.0,2.0,6743.0,1.0,Rural,390239.52
3272.0,2.0,3.0,1965.0,0.0,2.0,13120.0,0.0,Rural,326647.57
2192.0,2.0,1.0,1993.0,2.0,1.0,10620.0,1.0,Downtown,581504.48
4823.0,4.0,3.0,1960.0,3.0,1.0,7126.0,1.0,Waterfront,1177974.25
985.0,5.0,2.0,1996.0,2.0,2.0,8038.0,0.0,Waterfront,459637.7
2107.0,2.0,3.5,1974.0,2.0,1.0,3410.0,0.0,Waterfront,629228.93
1119.0,6.0,1.0,2000.0,3.0,2.0,6228.0,0.0,Downtown,371693.23
2091.0,4.0,4.0,1987.0,3.0,2.0,16090.0,0.0,Suburbs,519824.63
4833.0,2.0,1.0,2016.0,3.0,1.0,2184.0,0.0,Suburbs,689253.12
2211.0,3.0,3.5,1982.0,0.0,2.0,17063.0,0.0,Uptown,557738.97
4598.0,1.0,3.5,1971.0,2.0,2.0,8110.0,1.0,Waterfront,1085445.2
2778.0,1.0,2.0,1993.0,3.0,3.0,16542.0,0.0,Rural,388270.79
3679.0,3.0,1.0,1998.0,1.0,1.0,6610.0,0.0,Rural,392707.81
2613.0,3.0,2.0,1982.0,2.0,2.0,16918.0,0.0,Uptown,620650.81
1770.0,5.0,4.5,1991.0,0.0,3.0,12294.0,0.0,Waterfront,580477.37
3963.0,1.0,4.5,1984.0,3.0,1.0,17326.0,0.0,Waterfront,1068388.92
4865.0,6.0,4.5,1972.0,2.0,3.0,3121.0,0.0,Waterfront,1203553.71
1759.0,2.0,1.0,1973.0,2.0,3.0,16354.0,0.0,Waterfront,601853.03
4027.0,1.0,3.5,2017.0,3.0,2.0,6869.0,1.0,Rural,487284.48
1749.0,5.0,1.0,1999.0,0.0,3.0,8459.0,0.0,Downtown,523327.38
3755.0,5.0,3.5,1957.0,1.0,3.0,2805.0,1.0,Suburbs,578197.62
4072.0,4.0,2.5,2021.0,3.0,1.0,19174.0,0.0,Rural,540874.85
2577.0,1.0,3.0,2002.0,0.0,3.0,13546.0,0.0,Suburbs,460702.37
3843.0,1.0,3.5,1953.0,3.0,1.0,19657.0,0.0,Downtown,904866.63
1798.0,3.0,4.5,2003.0,1.0,1.0,12227.0,0.0,Waterfront,618306.53
948.0,3.0,2.0,1993.0,2.0,1.0,4847.0,1.0,Uptown,322976.64
1024.0,6.0,2.0,2017.0,2.0,2.0,8074.0,0.0,Waterfront,415606.67
2567.0,2.0,3.0,1986.0,2.0,3.0,9918.0,0.0,Suburbs,457192.34
4572.0,2.0,1.5,1988.0,3.0,2.0,4652.0,1.0,Suburbs,658801.34
1161.0,6.0,1.0,1973.0,1.0,2.0,18768.0,0.0,Suburbs,377818.39
2605.0,1.0,3.0,1973.0,0.0,1.0,19243.0,1.0,Suburbs,529467.07
3698.0,1.0,4.5,1995.0,1.0,2.0,12143.0,0.0,Uptown,769142.21
1490.0,3.0,3.0,2011.0,2.0,2.0,12519.0,1.0,Suburbs,372633.31
3775.0,3.0,4.0,2015.0,3.0,2.0,14663.0,0.0,Waterfront,1032583.63
1946.0,4.0,1.5,2007.0,3.0,1.0,14224.0,0.0,Suburbs,407800.47
4158.0,6.0,2.5,1995.0,1.0,1.0,3128.0,0.0,Uptown,837816.05
3149.0,6.0,3.5,1987.0,3.0,3.0,11564.0,0.0,Waterfront,919175.07
3006.0,2.0,2.0,1975.0,0.0,2.0,15988.0,1.0,Uptown,602935.12
1377.0,6.0,1.0,2006.0,0.0,2.0,16518.0,0.0,Downtown,522796.14
2638.0,4.0,1.0,1973.0,0.0,1.0,12729.0,0.0,Downtown,671999.58
4369.0,1.0,4.5,1969.0,3.0,3.0,18135.0,0.0,Uptown,945674.14
685.0,6.0,3.0,2014.0,0.0,2.0,12552.0,1.0,Rural,227110.7
3938.0,1.0,2.0,1993.0,2.0,2.0,8889.0,0.0,Waterfront,998045.99
2768.0,4.0,2.5,1976.0,3.0,3.0,9968.0,1.0,Downtown,736603.35
3766.0,5.0,1.5,2014.0,3.0,1.0,14421.0,0.0,Uptown,766123.86
3519.0,2.0,4.5,2021.0,3.0,2.0,17957.0,1.0,Suburbs,664962.03
2501.0,2.0,1.0,1973.0,0.0,3.0,6138.0,0.0,Uptown,512801.82
1958.0,3.0,4.5,1988.0,1.0,2.0,7283.0,0.0,Uptown,469587.0
3360.0,6.0,1.0,1985.0,2.0,1.0,13734.0,0.0,Suburbs,581149.1
1217.0,2.0,2.5,2001.0,2.0,1.0,15745.0,0.0,Downtown,426648.05
3170.0,4.0,2.0,2020.0,2.0,1.0,9185.0,1.0,Downtown,764731.53
1016.0,3.0,4.5,1990.0,2.0,2.0,13577.0,1.0,Uptown,455459.96
3459.0,1.0,1.0,2009.0,1.0,2.0,2122.0,0.0,Suburbs,550948.66
3367.0,5.0,2.5,1994.0,0.0,1.0,7251.0,1.0,Suburbs,558628.82
971.0,5.0,2.0,2015.0,1.0,3.0,19200.0,0.0,Downtown,477886.09
3933.0,4.0,2.5,1979.0,1.0,1.0,12377.0,0.0,Downtown,855021.55
2429.0,2.0,1.0,1978.0,2.0,2.0,17632.0,0.0,Downtown,665160.37
4063.0,1.0,4.0,1981.0,3.0,3.0,5917.0,0.0,Suburbs,671336.23
783.0,3.0,2.0,2023.0,2.0,1.0,7235.0,0.0,Downtown,299358.23
1389.0,4.0,2.5,1995.0,2.0,1.0,19549.0,0.0,Suburbs,386822.08
2774.0,4.0,2.0,1961.0,0.0,1.0,19960.0,0.0,Suburbs,520355.56
1428.0,2.0,4.0,1953.0,2.0,2.0,17784.0,0.0,Suburbs,365470.16
2051.0,4.0,2.5,1988.0,1.0,1.0,7708.0,1.0,Downtown,604794.44
3507.0,2.0,2.0,2009.0,0.0,3.0,16426.0,0.0,Downtown,877418.46
1236.0,5.0,2.0,1985.0,0.0,1.0,10259.0,0.0,Waterfront,460426.91
3582.0,5.0,2.5,1991.0,3.0,3.0,17191.0,1.0,Rural,487925.84
1055.0,4.0,1.5,2009.0,3.0,2.0,17323.0,0.0,Downtown,476166.84
1370.0,1.0,3.5,1988.0,2.0,1.0,9827.0,1.0,Suburbs,307732.12
3186.0,6.0,1.5,2017.0,3.0,1.0,7483.0,0.0,Suburbs,566105.35
4092.0,1.0,1.0,1997.0,0.0,1.0,19548.0,0.0,Waterfront,1052595.49
1350.0,6.0,1.0,2004.0,1.0,1.0,10110.0,0.0,Waterfront,523743.22
1920.0,1.0,2.0,2007.0,3.0,1.0,9770.0,1.0,Rural,256465.47
4671.0,4.0,4.5,1996.0,0.0,2.0,13981.0,1.0,Downtown,1050485.98
4955.0,1.0,3.5,1953.0,2.0,1.0,18860.0,0.0,Uptown,944727.31
3157.0,1.0,4.0,1981.0,0.0,3.0,4348.0,1.0,Uptown,604913.9
2567.0,5.0,2.5,1960.0,1.0,1.0,19721.0,1.0,Rural,372849.99
2126.0,5.0,4.0,1987.0,1.0,1.0,9602.0,0.0,Waterfront,678820.8
3295.0,1.0,1.0,1960.0,1.0,1.0,2460.0,0.0,Suburbs,485987.94
3200.0,6.0,3.5,1987.0,3.0,1.0,7569.0,0.0,Uptown,680365.69
1897.0,2.0,4.5,1975.0,3.0,3.0,10325.0,0.0,Suburbs,383628.03
700.0,2.0,3.5,1951.0,2.0,1.0,14182.0,0.0,Suburbs,276974.24
1266.0,2.0,4.5,1959.0,2.0,1.0,12195.0,1.0,Suburbs,321182.6
4818.0,3.0,2.5,1987.0,0.0,3.0,4447.0,0.0,Rural,483749.78
2440.0,2.0,1.5,1955.0,0.0,2.0,10788.0,0.0,Uptown,501297.41
2722.0,3.0,4.0,2013.0,0.0,1.0,6189.0,0.0,Rural,347935.27
2655.0,2.0,1.0,2006.0,3.0,3.0,6852.0,0.0,Rural,353437.22
4044.0,1.0,4.5,2002.0,0.0,1.0,14805.0,0.0,Suburbs,668735.2
885.0,3.0,3.0,1962.0,1.0,1.0,16459.0,1.0,Waterfront,466416.19
964.0,5.0,4.0,2008.0,3.0,2.0,4812.0,0.0,Downtown,381025.1
1814.0,5.0,2.0,1996.0,2.0,3.0,12843.0,0.0,Waterfront,701082.33
2741.0,3.0,4.0,1978.0,2.0,1.0,9596.0,0.0,Downtown,696067.72
3553.0,2.0,1.5,1950.0,0.0,3.0,8060.0,0.0,Suburbs,516043.53
2759.0,5.0,2.0,1989.0,2.0,1.0,14832.0,0.0,Waterfront,865419.47
2541.0,5.0,1.0,2008.0,2.0,3.0,6479.0,0.0,Rural,310230.28
4727.0,5.0,4.5,1952.0,1.0,1.0,15779.0,0.0,Suburbs,785002.59
1308.0,6.0,3.0,1953.0,2.0,2.0,9213.0,0.0,Waterfront,550597.11
3116.0,5.0,4.0,1978.0,3.0,2.0,3707.0,1.0,Downtown,744799.93
2986.0,6.0,4.0,1987.0,1.0,1.0,16261.0,0.0,Rural,408101.46
2683.0,3.0,2.5,1985.0,1.0,2.0,17336.0,0.0,Uptown,647604.77
4154.0,3.0,1.0,1981.0,1.0,3.0,12135.0,0.0,Suburbs,712727.73
1774.0,2.0,4.5,1968.0,3.0,2.0,15032.0,1.0,Waterfront,651906.47
4797.0,2.0,2.0,1954.0,0.0,2.0,4656.0,0.0,Rural,497337.58
2059.0,5.0,1.5,1952.0,3.0,3.0,8107.0,0.0,Downtown,564934.65
2998.0,5.0,4.0,1957.0,3.0,3.0,8298.0,0.0,Downtown,716355.9
2891.0,5.0,4.5,2001.0,1.0,1.0,15749.0,0.0,Downtown,765411.32
4339.0,2.0,2.0,2008.0,2.0,3.0,8337.0,0.0,Uptown,836767.87
2531.0,3.0,4.5,1982.0,3.0,3.0,15110.0,0.0,Uptown,609615.25
1852.0,2.0,1.0,1955.0,3.0,3.0,7523.0,0.0,Rural,252562.84
695.0,6.0,1.0,1980.0,1.0,3.0,12816.0,0.0,Rural,205441.23
2200.0,2.0,2.0,2022.0,0.0,3.0,5776.0,0.0,Downtown,545627.02
4236.0,1.0,3.0,1968.0,2.0,3.0,12053.0,0.0,Uptown,808435.15
643.0,4.0,1.0,1986.0,0.0,1.0,3454.0,0.0,Rural,117129.2
4544.0,6.0,1.5,1989.0,0.0,3.0,15225.0,0.0,Waterfront,1167574.42
2988.0,6.0,3.0,1974.0,3.0,1.0,2523.0,1.0,Suburbs,528008.04
1217.0,1.0,4.0,1982.0,1.0,2.0,19987.0,0.0,Downtown,491950.77
1929.0,2.0,3.5,1984.0,2.0,3.0,17102.0,0.0,Downtown,599544.49
