house_size,bedrooms,bathrooms,lot_size,garage_size,neighborhood_quality,year_built,price
864.0,4.0,2,13565.0,1.0,Medium,1982,253943
3368.0,4.0,1,10179.0,1.0,Low,1961,372929
2827.0,5.0,3,8115.0,3.0,Medium,1976,397323
3495.0,2.0,1,2459.0,3.0,High,1988,403466
2295.0,3.0,3,9568.0,2.0,Medium,1958,329472
1191.0,5.0,2,6646.0,0.0,High,1970,227344
4361.0,3.0,3,2392.0,2.0,Premium,1978,497208
3078.0,2.0,2,14130.0,0.0,Medium,1982,393281
3899.0,4.0,3,3787.0,,High,2011,470646
1000.0,1.0,2,9374.0,0.0,Medium,1964,217556
3904.0,4.0,2,12449.0,2.0,Medium,1951,493065
3254.0,5.0,4,3138.0,2.0,High,2001,483458
4445.0,6.0,2,14000.0,0.0,Medium,1993,523482
1604.0,1.0,4,6741.0,3.0,High,2003,319247
3531.0,5.0,2,9418.0,1.0,Low,1967,349656
3573.0,2.0,1,8362.0,1.0,High,1952,417013
2370.0,1.0,2,4454.0,2.0,Premium,1956,350839
3490.0,5.0,1,11658.0,3.0,Premium,1992,533570
4640.0,2.0,1,5674.0,0.0,High,1987,499222
1828.0,4.0,2,3377.0,1.0,High,1986,298456
1302.0,6.0,1,8701.0,3.0,High,2007,271900
,2.0,4,4597.0,1.0,High,1982,289709
1006.0,3.0,3,2141.0,3.0,Low,2008,207853
2284.0,2.0,2,4659.0,3.0,Medium,1960,331775
1663.0,2.0,1,6596.0,2.0,Medium,2017,282894
3590.0,6.0,2,11031.0,1.0,Premium,2017,535240
1363.0,3.0,4,13810.0,0.0,Medium,1971,288688
4991.0,5.0,2,7661.0,2.0,Medium,2015,528938
2557.0,5.0,2,8142.0,2.0,Medium,1993,362471
2478.0,2.0,1,14109.0,0.0,High,1955,337968
4042.0,3.0,4,7626.0,2.0,High,1991,513299
1859.0,3.0,3,10787.0,3.0,Medium,1974,278681
2522.0,6.0,3,12096.0,3.0,Medium,2006,448632
4114.0,4.0,1,10472.0,1.0,High,2004,513483
3957.0,5.0,2,2423.0,1.0,Medium,1965,436550
3425.0,6.0,1,8999.0,0.0,Medium,1963,413956
3529.0,1.0,1,14557.0,1.0,High,1988,485354
2397.0,5.0,1,6249.0,3.0,High,1977,341265
3860.0,6.0,2,3750.0,0.0,Low,2000,414796
3493.0,5.0,4,6757.0,0.0,High,1998,484148
4427.0,4.0,1,3967.0,1.0,High,1958,486035
2163.0,1.0,2,6088.0,3.0,Medium,2007,298954
2781.0,4.0,4,6178.0,0.0,Premium,1994,409292
2463.0,1.0,1,9789.0,3.0,High,1971,358626
2329.0,2.0,3,,3.0,High,1981,342128
2838.0,6.0,4,11641.0,3.0,High,2018,484188
4102.0,1.0,1,7394.0,1.0,Low,2018,455294
,4.0,4,9880.0,2.0,Medium,1991,410912
,5.0,4,12523.0,2.0,Medium,2002,365341
4829.0,1.0,4,7075.0,0.0,Medium,2008,521890
3475.0,6.0,4,12412.0,3.0,Medium,1988,493563
2082.0,1.0,4,13981.0,1.0,Premium,1964,350881
1509.0,3.0,4,9230.0,3.0,High,2020,344646
4548.0,5.0,1,13002.0,,High,1978,582872
1463.0,6.0,3,14920.0,1.0,Premium,1952,380153
2798.0,6.0,2,3531.0,2.0,High,1959,370551
4245.0,2.0,4,4990.0,3.0,Medium,1978,504196
,4.0,2,9155.0,3.0,Medium,1984,534258
2295.0,2.0,1,6493.0,2.0,Medium,1955,272406
4104.0,6.0,4,11335.0,1.0,High,1961,508319
4563.0,5.0,3,2933.0,0.0,Medium,1987,524892
2653.0,1.0,2,3460.0,2.0,High,1968,339341
2091.0,1.0,4,4723.0,0.0,Low,2016,274625
4381.0,5.0,1,12704.0,0.0,High,1957,489337
4257.0,6.0,3,2285.0,2.0,High,1957,558238
2436.0,1.0,2,2264.0,,High,1996,363064
4496.0,,2,12559.0,0.0,Premium,1953,528866
3799.0,1.0,4,8816.0,0.0,High,2000,458876
3952.0,4.0,3,13639.0,1.0,Premium,2016,584046
1498.0,4.0,3,,3.0,Premium,1994,350193
2960.0,3.0,3,13240.0,0.0,High,1957,412150
4897.0,2.0,3,12573.0,1.0,High,1965,568342
1654.0,5.0,1,12461.0,3.0,Low,2016,320846
4274.0,5.0,3,2040.0,2.0,Medium,1958,433285
2507.0,5.0,2,7827.0,2.0,High,2009,397769
3577.0,3.0,2,10259.0,1.0,Medium,2020,417517
2533.0,4.0,1,2987.0,2.0,Medium,1964,328666
4310.0,6.0,2,9804.0,0.0,Premium,2020,565303
1002.0,6.0,2,9789.0,,Premium,1990,303673
4055.0,3.0,3,7717.0,0.0,High,1971,459609
1566.0,6.0,2,14200.0,0.0,Medium,1973,300767
3127.0,5.0,1,5198.0,2.0,Low,1993,363545
3731.0,2.0,3,7374.0,0.0,Low,1950,345886
997.0,1.0,4,6790.0,2.0,Medium,1959,170112
2730.0,4.0,3,9183.0,3.0,Low,2021,387293
4382.0,4.0,1,4524.0,3.0,Low,2005,463064
1408.0,3.0,3,11277.0,0.0,Premium,1999,320363
4072.0,4.0,3,4479.0,1.0,High,1961,472461
1947.0,5.0,1,11885.0,2.0,Medium,2009,353286
4197.0,6.0,3,12507.0,2.0,Low,1975,517733
3311.0,5.0,1,7154.0,0.0,Medium,1990,399580
2594.0,3.0,1,2778.0,2.0,Low,1985,286500
1459.0,5.0,4,14781.0,2.0,Premium,1972,380120
3611.0,6.0,2,11777.0,1.0,Medium,1992,463980
2169.0,2.0,2,3492.0,1.0,Medium,1955,230628
2786.0,3.0,3,2660.0,0.0,Medium,2018,364018
946.0,2.0,3,3348.0,1.0,Low,1992,177488
4019.0,1.0,4,11491.0,0.0,High,1974,522741
3711.0,2.0,4,14132.0,3.0,High,1967,557649
2534.0,1.0,4,12178.0,0.0,High,2011,362589
2643.0,1.0,1,9851.0,,Low,1962,309987
1288.0,2.0,4,9156.0,0.0,High,1992,320050
3776.0,3.0,4,4044.0,2.0,High,1977,466988
2759.0,6.0,3,9368.0,1.0,Premium,1967,448944
3185.0,5.0,4,5516.0,3.0,Medium,2008,410957
3719.0,5.0,1,11250.0,0.0,Medium,2009,462275
2602.0,6.0,1,11168.0,1.0,High,2012,459638
4861.0,1.0,3,6577.0,0.0,High,2006,561497
4169.0,1.0,4,2727.0,1.0,Medium,2000,433955
1062.0,3.0,4,12719.0,1.0,Medium,2005,258128
1423.0,4.0,1,13328.0,0.0,Medium,1976,238861
1816.0,,4,,3.0,Premium,1981,357096
4443.0,1.0,4,2342.0,3.0,Medium,1958,430945
2849.0,5.0,4,3447.0,2.0,Premium,2017,454958
4523.0,3.0,2,12571.0,1.0,Medium,1995,555397
3908.0,2.0,3,8581.0,2.0,Premium,2016,543653
4890.0,3.0,2,13851.0,2.0,High,1975,620279
2856.0,2.0,3,8317.0,0.0,Medium,1957,359029
3970.0,2.0,1,2526.0,0.0,Premium,1955,433793
2482.0,6.0,4,12088.0,0.0,Low,1973,327309
3055.0,1.0,3,14946.0,1.0,Premium,1997,456206
1954.0,3.0,2,12265.0,0.0,High,1994,301303
3991.0,3.0,4,8748.0,0.0,Low,1962,417666
2496.0,6.0,1,2405.0,1.0,High,2018,313615
4791.0,5.0,3,9986.0,1.0,Premium,1974,617038
2448.0,5.0,3,11765.0,3.0,Low,1969,359602
2245.0,1.0,3,14792.0,0.0,High,2015,381488
4999.0,1.0,4,5740.0,0.0,High,1994,563760
4723.0,4.0,2,14466.0,0.0,High,1996,581145
1053.0,6.0,2,14419.0,3.0,Medium,2012,345966
3983.0,5.0,3,3846.0,0.0,Medium,2004,465308
3357.0,2.0,1,3478.0,3.0,Low,1968,337807
898.0,3.0,1,12587.0,2.0,High,1984,261020
3000.0,1.0,2,2771.0,3.0,Medium,2002,320629
3761.0,3.0,1,7525.0,2.0,Premium,1975,476961
4577.0,3.0,2,10770.0,0.0,Low,1963,454890
3669.0,4.0,3,13093.0,2.0,High,1994,525910
4034.0,5.0,2,2193.0,3.0,Low,1993,428177
4591.0,1.0,2,4007.0,1.0,Low,2014,426389
1756.0,3.0,3,3185.0,2.0,Medium,2000,239654
4867.0,1.0,1,4394.0,2.0,Medium,1992,488401
960.0,2.0,2,13190.0,0.0,High,1972,280767
2100.0,4.0,2,11984.0,3.0,Premium,2005,430842
4787.0,2.0,3,11302.0,2.0,High,1968,585261
2327.0,1.0,1,6005.0,2.0,Premium,2004,353183
2018.0,1.0,2,9429.0,2.0,Premium,2009,340616
3904.0,5.0,3,4261.0,2.0,High,2008,480203
3535.0,3.0,2,5736.0,1.0,High,1982,433537
1754.0,3.0,4,13985.0,3.0,High,1968,323362
4246.0,2.0,3,12128.0,0.0,Low,1977,427688
1845.0,4.0,1,8716.0,0.0,High,2001,302952
2493.0,6.0,1,6875.0,1.0,Low,1998,297396
4236.0,3.0,1,14549.0,3.0,High,1986,513151
,5.0,1,10921.0,2.0,High,1975,311858
3285.0,2.0,2,6378.0,1.0,Low,1989,355107
4154.0,2.0,2,9815.0,3.0,Medium,1987,509475
1025.0,6.0,1,5451.0,2.0,Premium,2003,281546
1759.0,5.0,1,14649.0,1.0,High,1971,357663
3867.0,4.0,1,9616.0,3.0,Medium,1965,499526
1615.0,5.0,2,14728.0,0.0,High,1977,333584
3920.0,4.0,1,12332.0,0.0,High,1984,478061
816.0,5.0,1,11836.0,3.0,Medium,2009,268861
2043.0,5.0,4,4800.0,0.0,Premium,1994,350284
3005.0,1.0,4,10333.0,3.0,High,1995,426079
3324.0,2.0,1,7410.0,2.0,Medium,2021,428135
1869.0,5.0,3,3455.0,3.0,High,2004,345013
4244.0,6.0,1,8892.0,2.0,Premium,1975,588581
3365.0,5.0,4,7808.0,1.0,Low,1974,387391
1860.0,3.0,3,8796.0,3.0,Medium,2014,325956
3127.0,2.0,3,6796.0,1.0,Medium,1955,351309
4220.0,3.0,1,7093.0,0.0,High,1972,451661
1101.0,2.0,4,12288.0,2.0,High,2013,321308
1406.0,3.0,4,3325.0,3.0,High,1992,337819
3970.0,5.0,3,6976.0,1.0,Premium,1972,515835
1499.0,5.0,1,11405.0,2.0,High,1979,307835
1939.0,1.0,2,3159.0,2.0,Low,1967,208508
990.0,6.0,2,6650.0,0.0,Medium,1970,198855
3100.0,3.0,4,14691.0,0.0,Medium,2006,460450
1780.0,4.0,2,6987.0,2.0,Medium,1972,271965
3775.0,1.0,4,6697.0,2.0,High,1994,461779
1984.0,3.0,4,2340.0,3.0,Premium,1993,341112
4127.0,3.0,4,5828.0,2.0,Medium,1996,490172
4194.0,1.0,2,3968.0,3.0,High,1989,489515
927.0,5.0,4,2703.0,2.0,High,2000,237931
2865.0,3.0,3,14605.0,0.0,Medium,1991,376868
,5.0,1,7482.0,3.0,Low,1956,362348
1369.0,1.0,1,12621.0,1.0,Medium,1999,253779
2695.0,5.0,4,8376.0,0.0,Low,1997,347013
3533.0,2.0,1,3800.0,3.0,Premium,1955,454253
4663.0,4.0,2,7463.0,3.0,Low,1958,522247
4814.0,3.0,2,6912.0,1.0,Medium,2006,504775
3701.0,6.0,1,6648.0,3.0,Medium,1980,456392
2486.0,4.0,2,2855.0,2.0,Premium,1970,377775
3809.0,5.0,1,12004.0,1.0,Low,1989,407816
954.0,3.0,1,4866.0,0.0,Low,1994,134327
,5.0,1,13834.0,0.0,Low,1998,427063
2209.0,2.0,4,2182.0,2.0,Low,1969,276334
4857.0,1.0,1,5112.0,0.0,Medium,1966,484861
1584.0,3.0,4,7670.0,3.0,High,1977,310788
3975.0,2.0,1,6492.0,3.0,Medium,1990,449146
3606.0,2.0,1,7823.0,2.0,Low,2015,370333
1337.0,3.0,1,3517.0,0.0,High,1974,245183
2641.0,5.0,2,7002.0,0.0,Medium,2007,378723
3255.0,6.0,4,3356.0,2.0,Medium,1990,444858
1324.0,2.0,4,12366.0,1.0,Medium,1955,284331
3750.0,4.0,1,5629.0,0.0,Premium,1987,483087
4931.0,2.0,1,5628.0,1.0,Low,1955,490257
4915.0,6.0,2,14288.0,0.0,Premium,1994,632630
3168.0,5.0,2,13431.0,0.0,High,1963,403754
4647.0,5.0,2,13883.0,0.0,Low,2015,542889
3501.0,,4,10210.0,0.0,Premium,1989,460552
1771.0,2.0,4,13595.0,3.0,Medium,1952,320059
1966.0,5.0,4,14871.0,1.0,Low,1973,338241
3574.0,6.0,1,14743.0,1.0,High,1968,501120
2782.0,3.0,4,13196.0,0.0,High,1967,450604
1653.0,1.0,3,8132.0,0.0,High,2013,251081
4946.0,1.0,3,11324.0,1.0,Low,1984,505642
4536.0,1.0,2,13531.0,3.0,Medium,2011,547384
4569.0,2.0,4,8588.0,2.0,High,1950,505577
1374.0,4.0,3,5311.0,2.0,Medium,1974,229400
4061.0,5.0,2,8048.0,1.0,Medium,1994,464217
1948.0,3.0,4,13564.0,0.0,Low,1998,273667
2515.0,6.0,1,8246.0,0.0,Low,1965,301770
4654.0,3.0,3,2987.0,3.0,Premium,1968,552195
3291.0,6.0,1,5321.0,2.0,Medium,1972,415243
3460.0,2.0,4,6615.0,3.0,Premium,1974,500863
3924.0,1.0,3,10365.0,2.0,Medium,1965,464880
3851.0,2.0,4,5741.0,1.0,High,2003,467082
804.0,4.0,1,5052.0,2.0,Medium,2022,223269
1676.0,4.0,3,8574.0,3.0,Medium,1950,313652
1791.0,6.0,1,2726.0,3.0,Low,1991,276321
4942.0,5.0,4,5760.0,3.0,Medium,1968,600339
1435.0,5.0,4,7806.0,1.0,Medium,1983,295973
2493.0,6.0,1,3875.0,2.0,Premium,2004,448183
2482.0,,3,8993.0,2.0,High,1967,336178
919.0,4.0,1,6033.0,3.0,Low,1983,196118
1630.0,4.0,4,7443.0,2.0,Low,1994,263136
4475.0,2.0,1,2989.0,0.0,Low,1955,394945
2169.0,4.0,4,5744.0,0.0,High,1970,312140
1540.0,3.0,1,12878.0,0.0,High,2019,320013
916.0,1.0,3,10611.0,2.0,Premium,1997,253667
3638.0,4.0,3,2593.0,1.0,Low,1988,393073
1950.0,6.0,1,3774.0,1.0,Medium,1980,270435
2731.0,1.0,1,12651.0,1.0,Medium,1959,332227
1812.0,2.0,3,2935.0,1.0,High,1979,288905
2464.0,6.0,4,5808.0,0.0,High,1967,368235
1881.0,1.0,3,2331.0,0.0,High,2009,298713
1312.0,6.0,4,13641.0,3.0,High,2022,357774
3649.0,2.0,1,9922.0,2.0,Low,1964,392915
1359.0,3.0,1,4702.0,2.0,High,1953,265505
4472.0,2.0,4,14198.0,1.0,Low,2012,518973
4143.0,2.0,1,7889.0,0.0,High,1989,480896
4870.0,6.0,4,7054.0,1.0,Medium,1958,565030
2270.0,5.0,2,5868.0,3.0,Medium,1958,324815
1380.0,4.0,3,6200.0,2.0,Premium,1975,305563
3094.0,4.0,2,2201.0,2.0,Premium,1953,429543
3947.0,3.0,4,4497.0,1.0,High,1965,462756
2479.0,3.0,3,3842.0,3.0,Medium,1964,354974
4306.0,4.0,4,12058.0,2.0,High,2001,577665
3544.0,5.0,3,12188.0,3.0,Medium,2018,489992
4156.0,4.0,3,11101.0,3.0,Premium,1954,572752
4845.0,5.0,3,14497.0,1.0,Medium,1969,551531
2043.0,3.0,3,6658.0,0.0,Premium,1967,356168
3918.0,1.0,4,13381.0,1.0,Premium,1951,486901
2941.0,6.0,3,,0.0,High,1962,439441
3859.0,3.0,3,9718.0,3.0,Medium,1953,473227
3759.0,3.0,2,2770.0,0.0,Low,1991,367778
3065.0,2.0,1,5155.0,3.0,Premium,2010,464241
3279.0,2.0,1,12693.0,2.0,Low,1957,385511
2435.0,2.0,2,12906.0,2.0,Premium,2016,460937
2557.0,6.0,2,14916.0,2.0,Medium,2012,450561
2870.0,2.0,4,13777.0,1.0,Medium,1958,391530
3649.0,5.0,4,3628.0,1.0,Premium,1960,463624
4051.0,4.0,4,2386.0,3.0,High,1991,497679
4530.0,1.0,2,8031.0,2.0,High,1962,511122
3289.0,3.0,2,13613.0,1.0,High,1985,478319
2431.0,,3,8439.0,2.0,Medium,1962,345547
3616.0,1.0,4,8401.0,1.0,High,1961,433326
1815.0,5.0,4,6008.0,0.0,Medium,1986,324207
2148.0,5.0,4,14285.0,0.0,Premium,2022,431179
3887.0,3.0,1,14555.0,2.0,Premium,2001,540540
3639.0,4.0,3,4466.0,3.0,Medium,2020,479982
1135.0,2.0,4,4282.0,1.0,High,1951,223587
1695.0,6.0,4,3856.0,1.0,High,2005,298588
4346.0,4.0,4,9980.0,0.0,Medium,2009,533898
1651.0,6.0,1,3998.0,0.0,Premium,1972,292129
2487.0,3.0,1,7476.0,3.0,Low,1989,322711
2731.0,3.0,2,11428.0,3.0,Medium,2013,407757
4546.0,3.0,3,6669.0,3.0,Medium,1972,520627
3227.0,1.0,2,14336.0,2.0,Medium,1978,374018
2368.0,6.0,3,11342.0,0.0,High,2000,390448
4800.0,4.0,1,6318.0,2.0,High,2018,594086
3538.0,4.0,4,9064.0,0.0,High,1980,484668
4298.0,,2,9446.0,0.0,High,1999,507744
4713.0,,4,3431.0,1.0,Low,1969,498106
1866.0,5.0,2,7624.0,0.0,Medium,2004,281171
,3.0,1,9461.0,0.0,Medium,1951,359834
4907.0,4.0,1,3819.0,2.0,Medium,1974,509215
4173.0,,1,12516.0,0.0,High,1962,518596
4769.0,3.0,2,3130.0,2.0,Low,2019,511697
3346.0,1.0,3,8563.0,3.0,Medium,2016,440786
1553.0,5.0,2,4658.0,0.0,Medium,2007,255507
2882.0,3.0,3,5500.0,0.0,Premium,2013,440906
3574.0,3.0,2,10566.0,2.0,Premium,2018,506696
3696.0,1.0,2,4120.0,3.0,High,2008,459735
4985.0,2.0,1,6020.0,1.0,Premium,2009,602315
1575.0,4.0,4,12213.0,3.0,High,2011,380151
2425.0,6.0,4,13897.0,2.0,High,1965,417658
3869.0,2.0,3,5259.0,3.0,Low,2017,409055
1217.0,5.0,4,13627.0,2.0,High,1964,326712
914.0,3.0,2,,2.0,High,2004,248951
1416.0,1.0,2,3823.0,1.0,High,1984,237144
4774.0,1.0,1,3474.0,0.0,High,2004,523868
4067.0,4.0,1,4242.0,2.0,Medium,1963,457005
1625.0,2.0,4,5243.0,2.0,High,1998,263741
2316.0,4.0,3,8990.0,1.0,Premium,1956,389239
3946.0,3.0,4,7160.0,2.0,Medium,1979,461596
1212.0,4.0,4,5134.0,0.0,High,1998,237155
1528.0,6.0,4,4070.0,1.0,Medium,1965,270790
4148.0,1.0,4,2359.0,0.0,High,2000,450800
3608.0,1.0,2,12233.0,0.0,High,2021,455594
1475.0,5.0,3,3141.0,1.0,Low,1991,226685
4265.0,5.0,2,3635.0,2.0,High,1966,490857
3304.0,3.0,3,6000.0,0.0,Medium,2012,399234
3767.0,6.0,1,12135.0,0.0,High,1994,486168
3586.0,2.0,4,14966.0,0.0,Medium,1956,423940
1922.0,4.0,2,5361.0,0.0,High,1976,317423
4879.0,3.0,3,8583.0,1.0,Low,1959,513628
2371.0,5.0,1,9835.0,1.0,High,1983,339181
2943.0,4.0,1,13172.0,3.0,Medium,1985,437741
2487.0,5.0,4,2006.0,3.0,Premium,1974,438961
4932.0,4.0,3,5267.0,0.0,Premium,1955,594542
4651.0,2.0,2,8564.0,2.0,Premium,1973,578807
4240.0,3.0,4,11783.0,0.0,High,1967,493467
4566.0,4.0,2,,2.0,High,1955,543019
,6.0,1,13456.0,0.0,Medium,1978,397974
3714.0,1.0,2,4606.0,3.0,Medium,1974,411290
4752.0,6.0,2,13411.0,3.0,Medium,2004,607876
1395.0,6.0,4,7906.0,2.0,High,1995,313534
1528.0,1.0,2,5273.0,0.0,Premium,1973,247176
2165.0,6.0,4,9611.0,2.0,Low,1975,339070
1498.0,4.0,1,2913.0,3.0,Premium,1977,349249
1195.0,4.0,4,4011.0,0.0,High,1952,257519
4971.0,4.0,4,3442.0,0.0,High,1987,563533
3302.0,1.0,3,7546.0,2.0,Low,2010,401473
2619.0,6.0,2,13246.0,1.0,Low,2000,385504
1517.0,1.0,1,13738.0,2.0,High,1997,320548
3582.0,4.0,4,14413.0,3.0,High,1970,538597
4377.0,6.0,1,13120.0,3.0,Medium,2003,534892
943.0,6.0,3,3829.0,3.0,High,2005,288074
3940.0,5.0,2,,3.0,Premium,2008,574416
3738.0,5.0,4,8468.0,3.0,High,2021,538458
4436.0,2.0,2,2929.0,,Premium,2000,515297
4022.0,3.0,3,13951.0,0.0,Medium,1969,483424
1967.0,5.0,3,5699.0,2.0,Medium,2008,310496
3416.0,1.0,1,11655.0,2.0,High,2020,453877
1862.0,5.0,4,13467.0,3.0,Medium,1958,337217
2956.0,2.0,1,3054.0,2.0,Low,1950,315028
,6.0,3,7744.0,3.0,Medium,1978,487045
4094.0,2.0,2,3900.0,1.0,Medium,2012,438803
1956.0,6.0,1,11649.0,1.0,Medium,2021,338756
1532.0,6.0,1,8980.0,0.0,Medium,2005,279037
1753.0,3.0,2,9069.0,1.0,Medium,2017,329528
3339.0,5.0,1,11591.0,1.0,Low,1984,375344
4124.0,1.0,2,5415.0,0.0,High,1952,451505
4101.0,1.0,4,2442.0,2.0,High,1956,468727
2342.0,4.0,2,13842.0,3.0,High,1976,391910
1991.0,6.0,4,8218.0,3.0,Low,1950,337707
3793.0,1.0,2,6652.0,2.0,Medium,2020,456485
3481.0,3.0,3,9939.0,,High,1993,441520
2017.0,6.0,3,9833.0,2.0,High,1990,343336
2340.0,3.0,4,11370.0,1.0,Medium,1991,359132
4036.0,1.0,4,9597.0,0.0,Medium,1982,447970
3186.0,1.0,3,6458.0,0.0,Premium,1999,407055
4519.0,4.0,4,8591.0,0.0,Medium,2012,500602
2188.0,1.0,2,11449.0,3.0,Medium,1986,353655
2656.0,6.0,2,13826.0,2.0,High,2008,415496
2165.0,6.0,3,12033.0,0.0,Medium,1997,359150
1299.0,6.0,1,4309.0,0.0,Medium,1954,207716
2480.0,4.0,2,8268.0,0.0,Medium,1997,347183
1310.0,,4,2910.0,2.0,High,1952,254463
2124.0,1.0,1,6340.0,3.0,Medium,1996,310485
1955.0,2.0,1,14829.0,1.0,Low,2011,280189
2627.0,2.0,2,6009.0,3.0,Medium,1963,339720
3941.0,4.0,2,,0.0,High,2012,503201
4286.0,1.0,1,4169.0,3.0,Low,2010,446742
2610.0,2.0,1,4172.0,3.0,Premium,1980,400266
3723.0,1.0,3,7668.0,1.0,Medium,1966,393621
3014.0,1.0,4,,2.0,Premium,1973,428371
4986.0,1.0,3,10315.0,2.0,Premium,1972,589988
1513.0,5.0,2,10036.0,3.0,Medium,1999,308190
4402.0,6.0,3,13350.0,3.0,Low,2019,582581
4934.0,1.0,3,8789.0,2.0,Low,1976,494581
4322.0,5.0,3,2785.0,2.0,Medium,1964,455813
2043.0,4.0,3,8139.0,1.0,High,1999,361467
4509.0,2.0,4,8344.0,0.0,Medium,1985,516872
1881.0,6.0,4,4416.0,3.0,Medium,1957,288835
1255.0,2.0,1,10988.0,2.0,Medium,1952,271796
1694.0,6.0,2,14364.0,,Premium,2011,432143
2184.0,2.0,3,6154.0,3.0,Low,1996,319167
2758.0,6.0,1,7619.0,2.0,Low,2010,396076
3872.0,2.0,1,3936.0,1.0,Low,1981,398392
2796.0,2.0,1,12348.0,3.0,Premium,1962,437209
1304.0,2.0,4,5807.0,1.0,High,1950,269708
2014.0,2.0,3,9151.0,2.0,Medium,1983,316466
2331.0,4.0,3,11493.0,0.0,Low,2011,346254
4240.0,1.0,2,14355.0,0.0,Medium,2020,519972
1623.0,3.0,3,13332.0,3.0,Low,1980,267682
1728.0,5.0,3,5236.0,2.0,Premium,2013,383806
